122.41.0.0,2048917504,122.47.255.255,2049966079,12
124.46.0.0,2083389440,124.46.127.255,2083422207,17
125.128.0.0,2105540608,125.159.255.255,2107637759,11
144.48.100.0,2419090432,144.48.103.255,2419091455,22
160.202.176.0,2697637888,160.202.179.255,2697638911,22
123.98.160.0,2070061056,123.98.191.255,2070069247,19
123.108.16.0,2070679552,123.108.31.255,2070683647,20
147.46.0.0,2469265408,147.46.255.255,2469330943,16
163.213.0.0,2748645376,163.213.255.255,2748710911,16
163.222.0.0,2749235200,163.222.255.255,2749300735,16
